48
13456.000000,28119.000000
11784.333333,27201.555556
5169.750000,33044.750000
6023.666667,40494.333333
13587.861459,26538.046180
15703.500000,27788.000000
30096.000000,34018.000000
30096.000000,34018.000000
35663.479958,30848.760021
46221.244142,26684.755858
48741.857143,27441.000000
53342.494949,29294.747475
70111.000000,43600.000000
69909.333333,45283.333333
56246.934801,32437.869602
59731.933333,52358.000000
60522.307046,54053.515098
69986.000000,72168.521351
72142.532629,76072.130514
72894.333333,77447.000000
73713.666667,78970.000000
65122.037002,77593.466818
63126.960182,76009.740046
66226.918291,78470.540854
47859.000000,62951.000000
47856.000000,62948.000000
36795.476373,53736.261813
32393.549388,56333.000000
21959.000170,52143.000340
21193.611841,49578.129386
39051.637609,48580.724781
40472.000000,34768.400000
37012.825794,31883.000000
31061.875504,35227.124496
26179.846626,49324.000000
35453.802731,52364.000000
35376.327306,42007.769741
43979.515603,38407.218723
42480.000000,36756.000000
39882.258481,50079.317514
42820.571429,55176.142857
61943.000000,73676.500000
63326.392857,74767.035714
67712.963222,77861.018389
70329.000000,78267.000000
70329.000000,78267.000000
68411.250000,75591.750000
49172.052922,46913.474090
